component_id,trial_key,page_type,task,network_type,edge_count,drawing,graph_id,accepted_index,condition_id,stimulus_path,target_community_internal,target_color,candidate_community_internal,target_node,candidate_nodes_json,correct_answer_internal,correct_answer_label
global_SW_300_straight_01_task,global_SW_300_straight_01,task,global,small_world,300,straight,SW_300_01,1,global__small_world__E300__straight,edge-bundling/assets/stimuli/SW_300_01.webp,A,青,,,,B,オレンジ色
global_SW_300_straight_01_subjective,global_SW_300_straight_01,subjective,global,small_world,300,straight,SW_300_01,1,global__small_world__E300__straight,edge-bundling/assets/stimuli/SW_300_01.webp,A,青,,,,,
global_SW_300_straight_02_task,global_SW_300_straight_02,task,global,small_world,300,straight,SW_300_02,2,global__small_world__E300__straight,edge-bundling/assets/stimuli/SW_300_02.webp,D,赤,,,,A,青色
global_SW_300_straight_02_subjective,global_SW_300_straight_02,subjective,global,small_world,300,straight,SW_300_02,2,global__small_world__E300__straight,edge-bundling/assets/stimuli/SW_300_02.webp,D,赤,,,,,
global_SW_300_straight_03_task,global_SW_300_straight_03,task,global,small_world,300,straight,SW_300_03,3,global__small_world__E300__straight,edge-bundling/assets/stimuli/SW_300_03.webp,D,赤,,,,B,オレンジ色
global_SW_300_straight_03_subjective,global_SW_300_straight_03,subjective,global,small_world,300,straight,SW_300_03,3,global__small_world__E300__straight,edge-bundling/assets/stimuli/SW_300_03.webp,D,赤,,,,,
global_SW_300_straight_04_task,global_SW_300_straight_04,task,global,small_world,300,straight,SW_300_04,4,global__small_world__E300__straight,edge-bundling/assets/stimuli/SW_300_04.webp,B,オレンジ,,,,D,赤色
global_SW_300_straight_04_subjective,global_SW_300_straight_04,subjective,global,small_world,300,straight,SW_300_04,4,global__small_world__E300__straight,edge-bundling/assets/stimuli/SW_300_04.webp,B,オレンジ,,,,,
global_SW_300_fdeb_01_task,global_SW_300_fdeb_01,task,global,small_world,300,fdeb,SW_300_01,1,global__small_world__E300__fdeb,edge-bundling/assets/stimuli/SW_300_01_fdeb.webp,A,青,,,,B,オレンジ色
global_SW_300_fdeb_01_subjective,global_SW_300_fdeb_01,subjective,global,small_world,300,fdeb,SW_300_01,1,global__small_world__E300__fdeb,edge-bundling/assets/stimuli/SW_300_01_fdeb.webp,A,青,,,,,
global_SW_300_fdeb_02_task,global_SW_300_fdeb_02,task,global,small_world,300,fdeb,SW_300_02,2,global__small_world__E300__fdeb,edge-bundling/assets/stimuli/SW_300_02_fdeb.webp,D,赤,,,,A,青色
global_SW_300_fdeb_02_subjective,global_SW_300_fdeb_02,subjective,global,small_world,300,fdeb,SW_300_02,2,global__small_world__E300__fdeb,edge-bundling/assets/stimuli/SW_300_02_fdeb.webp,D,赤,,,,,
